Match_ID,Mode,Map,Result,Team_Score,Opponent_Score,Kills,Deaths,Assists,Damage,Rating,KDA Ratio,Win Flag,Damage Per Kill,Performance Category
135,CS Ranked,Purgatory,Win,4,1,3,3,1,706,6.8,1.333333333,1,235.3333333,Poor
136,Special CS Ranked,Solara,Win,4,3,7,3,3,2818,12.5,3.333333333,1,402.5714286,Elite
137,CS Ranked,Bermuda,Win,1,4,1,3,1,922,5.1,0.666666667,1,922,Poor
138,BR Ranked,Bermuda,Loss,2,4,0,1,0,32,4.4,0,0,0,Poor
139,BR Ranked,Kalahari,Loss,1,4,2,4,2,1423,8.7,1,0,711.5,Average
140,BR Ranked,Bermuda,Loss,1,4,1,1,2,882,5.6,3,0,882,Poor
141,BR Ranked,Solara,Loss,2,4,1,3,3,644,6.6,1.333333333,0,644,Poor
142,BR Ranked,Bermuda,Loss,4,1,2,1,0,933,7.4,2,0,466.5,Average
143,BR Ranked,Nexterra,Loss,1,4,6,1,5,2555,12.1,11,0,425.8333333,Elite
144,BR Ranked,Kalahari,Loss,1,4,2,4,0,990,5.9,0.5,0,495,Poor
145,BR Ranked,Solara,Loss,4,2,3,2,2,1771,8.9,2.5,0,590.3333333,Average
146,BR Ranked,Nexterra,Loss,2,4,6,3,2,2763,13.2,2.666666667,0,460.5,Elite
147,BR Ranked,Nexterra,Loss,4,2,3,1,5,1384,9.6,8,0,461.3333333,Average
148,BR Ranked,Bermuda,Loss,4,3,3,4,0,1670,10.1,0.75,0,556.6666667,Good
149,BR Ranked,Bermuda,Loss,4,2,6,2,1,1843,10.7,3.5,0,307.1666667,Good
150,BR Ranked,Bermuda,Loss,2,4,2,3,3,1572,10.3,1.666666667,0,786,Good
151,BR Ranked,Solara,Loss,4,1,0,2,1,409,5,0.5,0,0,Poor
